Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,Landing Page URL,"
"
Wal-Mart Stores,corporate.walmart.com,https://www.youtube.com/watch?v=8KZ8m4cpnyk,http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/New_Walmart_Logo.svg/1280px-New_Walmart_Logo.svg.png,#1A75CF,#FDBB30,,,,,,,,,,,
Exxon Mobil,exxonmobil.com,https://www.youtube.com/watch?v=xL0g6JMjt8s,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Exxon_Mobil_Logo.svg/2000px-Exxon_Mobil_Logo.svg.png,#C5271B,#F2F2F2,,,,,,,,,,,
Chevron,chevron.com,https://www.youtube.com/watch?v=4maj5SwANYo,http://logonoid.com/images/chevron-logo.png,#00ABEB,#E11736,,,,,,,,,,,
Berkshire Hathaway,berkshirehathaway.com,https://www.youtube.com/watch?v=XT-lVzPVU38,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Berkshire_Hathaway.svg/1000px-Berkshire_Hathaway.svg.png,#2E3192,#FFFFFF,,,,,,,,,,,
Apple,apple.com,https://www.youtube.com/watch?v=y1nqy2CPbQU,http://i.imgur.com/hbh7Q.png,#000000,#FFFFFF,,,,,,,,,,,
Phillips 66,phillips66.com,https://www.youtube.com/watch?v=PF-lhNolKGw,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Phillips66-Logo.svg/2000px-Phillips66-Logo.svg.png,#CD2729,#000000,,,,,,,,,,,
General Motors,gm.com,https://www.youtube.com/watch?v=RvcTD3C9lRM,http://car-logos.org/wp-content/uploads/2011/09/gm.png,#1C458E,#FFFFFF,,,,,,,,,,,
Ford Motor,ford.com,https://www.youtube.com/watch?v=7Z56deqZ0lU,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ford_Motor_Company_Logo.svg/2000px-Ford_Motor_Company_Logo.svg.png,#011D4C,#FFFFFF,,,,,,,,,,,
General Electric,ge.com,https://www.youtube.com/watch?v=ULvnRCh7PZI,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/General_Electric_logo.svg/1024px-General_Electric_logo.svg.png,#3A73B8,#FEFFFE,,,,,,,,,,,
Valero Energy,valero.com,https://www.youtube.com/watch?v=cl-C-0RglA8,http://logonoid.com/images/valero-logo.png,#006B88,#FBB826,,,,,,,,,,,
AT&T,att.com,,,,,,,,,,,,,,,
CVS Caremark,cvscaremark.com,,,,,,,,,,,,,,,
Fannie Mae,fanniemae.com,,,,,,,,,,,,,,,
UnitedHealth Group,unitedhealthgroup.com,,,,,,,,,,,,,,,
McKesson,mckesson.com,,,,,,,,,,,,,,,
Verizon Communications,verizon.com,,,,,,,,,,,,,,,
Hewlett-Packard,hp.com,,,,,,,,,,,,,,,
J.P. Morgan Chase & Co.,jpmorganchase.com,,,,,,,,,,,,,,,
Costco Wholesale,costco.com,,,,,,,,,,,,,,,
Express Scripts Holding,express-scripts.com,,,,,,,,,,,,,,,
Bank of America,bankofamerica.com,,,,,,,,,,,,,,,
Cardinal Health,cardinal.com,,,,,,,,,,,,,,,
International Business Machines,ibm.com,,,,,,,,,,,,,,,
Kroger,thekrogerco.com,,,,,,,,,,,,,,,
Marathon Petroleum,marathonpetroleum.com,,,,,,,,,,,,,,,
Citigroup,citigroup.com,,,,,,,,,,,,,,,
Archer Daniels Midland,adm.com,,,,,,,,,,,,,,,
AmerisourceBergen,amerisourcebergen.com,,,,,,,,,,,,,,,
Wells Fargo,wellsfargo.com,,,,,,,,,,,,,,,
Boeing,boeing.com,,,,,,,,,,,,,,,
Procter & Gamble,pg.com,,,,,,,,,,,,,,,
Freddie Mac,freddiemac.com,,,,,,,,,,,,,,,
Home Depot,homedepot.com,,,,,,,,,,,,,,,
Microsoft,microsoft.com,,,,,,,,,,,,,,,
Amazon.com,amazon.com,,,,,,,,,,,,,,,
Target,target.com,,,,,,,,,,,,,,,
Walgreen Co.,walgreens.com,,,,,,,,,,,,,,,
WellPoint,wellpoint.com,,,,,,,,,,,,,,,
Johnson & Johnson,jnj.com,,,,,,,,,,,,,,,
American International Group,aig.com,,,,,,,,,,,,,,,
State Farm Insurance Cos.,statefarm.com,,,,,,,,,,,,,,,
MetLife,metlife.com,,,,,,,,,,,,,,,
PepsiCo,pepsico.com,,,,,,,,,,,,,,,
Comcast,comcastcorporation.com,,,,,,,,,,,,,,,
United Technologies,utc.com,,,,,,,,,,,,,,,
Google,google.com,,,,,,,,,,,,,,,
ConocoPhillips,conocophillips.com,,,,,,,,,,,,,,,
Dow Chemical,dow.com,,,,,,,,,,,,,,,
Caterpillar,caterpillar.com,,,,,,,,,,,,,,,
United Parcel Service,ups.com,,,,,,,,,,,,,,,
Pfizer,pfizer.com,,,,,,,,,,,,,,,
Lowe's Companies,lowes.com,,,,,,,,,,,,,,,
Intel Corporation,intel.com,,,,,,,,,,,,,,,
"Energy Transfer Equity, L.P.",energytransfer.com,,,,,,,,,,,,,,,
"Cisco Systems, Inc.",cisco.com,,,,,,,,,,,,,,,
Enterprise Products Partners L.P.,enterpriseproducts.com,,,,,,,,,,,,,,,
Aetna Inc.,aetna.com,,,,,,,,,,,,,,,
The Coca-Cola Company,coca-colacompany.com,,,,,,,,,,,,,,,
Lockheed Martin Corporation,lockheedmartin.com,,,,,,,,,,,,,,,
"Best Buy Co., Inc.",bestbuy.com,,,,,,,,,,,,,,,
