Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
Wal-Mart Stores,corporate.walmart.com,https://www.youtube.com/watch?v=8KZ8m4cpnyk,http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/New_Walmart_Logo.svg/1280px-New_Walmart_Logo.svg.png,#1A75CF,#FDBB30,,,,,,,,,,137995,http://forgescan.github.io/web/Wal-Mart%20Stores/Wal-Mart%20Stores.html,,,,,
Exxon Mobil,exxonmobil.com,https://www.youtube.com/watch?v=xL0g6JMjt8s,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Exxon_Mobil_Logo.svg/2000px-Exxon_Mobil_Logo.svg.png,#C5271B,#F2F2F2,,,,,,,,,,137995,http://forgescan.github.io/web/Exxon%20Mobil/Exxon%20Mobil.html,,,,,http://forgescan.github.io/web/#FDBB30/#FDBB30.html
Chevron,chevron.com,https://www.youtube.com/watch?v=4maj5SwANYo,http://logonoid.com/images/chevron-logo.png,#00ABEB,#E11736,,,,,,,,,,137995,http://forgescan.github.io/web/Chevron/Chevron.html,,,,,
Berkshire Hathaway,berkshirehathaway.com,https://www.youtube.com/watch?v=XT-lVzPVU38,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Berkshire_Hathaway.svg/1000px-Berkshire_Hathaway.svg.png,#2E3192,#FFFFFF,,,,,,,,,,137995,http://forgescan.github.io/web/Berkshire%20Hathaway/Berkshire%20Hathaway.html,,,,,
Apple,apple.com,https://www.youtube.com/watch?v=y1nqy2CPbQU,http://i.imgur.com/hbh7Q.png,#000000,#FFFFFF,,,,,,,,,,137995,http://forgescan.github.io/web/Apple/Apple.html,,,,,
Phillips 66,phillips66.com,https://www.youtube.com/watch?v=PF-lhNolKGw,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Phillips66-Logo.svg/2000px-Phillips66-Logo.svg.png,#CD2729,#000000,,,,,,,,,,137995,http://forgescan.github.io/web/Phillips%2066/Phillips%2066.html,,,,,
General Motors,gm.com,https://www.youtube.com/watch?v=RvcTD3C9lRM,http://car-logos.org/wp-content/uploads/2011/09/gm.png,#1C458E,#FFFFFF,,,,,,,,,,137995,http://forgescan.github.io/web/General%20Motors/General%20Motors.html,,,,,
Ford Motor,ford.com,https://www.youtube.com/watch?v=7Z56deqZ0lU,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ford_Motor_Company_Logo.svg/2000px-Ford_Motor_Company_Logo.svg.png,#011D4C,#FFFFFF,,,,,,,,,,137995,http://forgescan.github.io/web/Ford%20Motor/Ford%20Motor.html,,,,,
General Electric,ge.com,https://www.youtube.com/watch?v=ULvnRCh7PZI,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/General_Electric_logo.svg/1024px-General_Electric_logo.svg.png,#3A73B8,#FEFFFE,,,,,,,,,,137995,http://forgescan.github.io/web/General%20Electric/General%20Electric.html,,,,,
Valero Energy,valero.com,https://www.youtube.com/watch?v=cl-C-0RglA8,http://logonoid.com/images/valero-logo.png,#006B88,#FBB826,,,,,,,,,,137995,http://forgescan.github.io/web/Valero%20Energy/Valero%20Energy.html,,,,,
AT&T,att.com,,,,,,,,,,,,,,137995,http://forgescan.github.io/web/AT&T/AT&T.html,,,,,
CVS Caremark,cvscaremark.com,,,,,,,,,,,,,,137995,http://forgescan.github.io/web/CVS%20Caremark/CVS%20Caremark.html,,,,,
Fannie Mae,fanniemae.com,,,,,,,,,,,,,,137995,http://forgescan.github.io/web/Fannie%20Mae/Fannie%20Mae.html,,,,,
UnitedHealth Group,unitedhealthgroup.com,,http://unitedhealthgroup.com/UHG/images/logo.gif,,,,,,,,,,,,137995,http://forgescan.github.io/web/UnitedHealth%20Group/UnitedHealth%20Group.html,,,,,
McKesson,mckesson.com,,http://mckesson.com/uploadedimages/logo.png,,,,,,,,,,,,137995,http://forgescan.github.io/web/McKesson/McKesson.html,,,,,
Verizon Communications,verizon.com,,http://verizon.com/cs/groups/public/documents/adacct/hbo_logo_sm.png,,,,,,,,,,,,137995,http://forgescan.github.io/web/Verizon%20Communications/Verizon%20Communications.html,,,,,
Hewlett-Packard,hp.com,,http://welcome.hp-ww.com/country/us/en/cs/images/i/header-footer/caas-hf-v3/hp-logo.gif,,,,,,,,,,,,137995,http://forgescan.github.io/web/Hewlett-Packard/Hewlett-Packard.html,,,,,
J.P. Morgan Chase & Co.,jpmorganchase.com,,http://jpmorganchase.com/content/dam/jpmorganchase/en/legacy/corporate/includes/images/jpmc_logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/J.P.%20Morgan%20Chase%20&%20Co./J.P.%20Morgan%20Chase%20&%20Co..html,,,,,
Costco Wholesale,costco.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Costco%20Wholesale/Costco%20Wholesale.html,,,,,
Express Scripts Holding,express-scripts.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Express%20Scripts%20Holding/Express%20Scripts%20Holding.html,,,,,
Bank of America,bankofamerica.com,,http://bankofamerica.com/content/images/ContextualSiteGraphics/Logos/en_US/boa_logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Bank%20of%20America/Bank%20of%20America.html,,,,,
Cardinal Health,cardinal.com,,http://cardinal.com/mps/CacheProxyServlet/colorPalette/default/browserVendor/unknown/browserName/Default+HTML+Client/browserVersion/unknown/locale/en/forwardurl/mps/themes/html/Cardinal/images/common/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Cardinal%20Health/Cardinal%20Health.html,,,,,
International Business Machines,ibm.com,,http://www.ibm.com/images/portal/H878951C10974G18/tri_logo_black_angle_1.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/International%20Business%20Machines/International%20Business%20Machines.html,,,,,
Kroger,thekrogerco.com,,http://thekrogerco.com/Sitefinity/WebsiteTemplates/KrogerCorporate/App_Themes/KrogerCorporate/Images/logo_kroger.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Kroger/Kroger.html,,,,,
Marathon Petroleum,marathonpetroleum.com,,http://marathonpetroleum.com/images/MPClogo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Marathon%20Petroleum/Marathon%20Petroleum.html,,,,,
Citigroup,citigroup.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Citigroup/Citigroup.html,,,,,
Archer Daniels Midland,adm.com,,http://adm.com/_layouts/ADMworld/images/ADMlogo2.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/Archer%20Daniels%20Midland/Archer%20Daniels%20Midland.html,,,,,
AmerisourceBergen,amerisourcebergen.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/AmerisourceBergen/AmerisourceBergen.html,,,,,
Wells Fargo,wellsfargo.com,,https://www01.wellsfargomedia.com/assets/images/global/wf-logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Wells%20Fargo/Wells%20Fargo.html,,,,,
